marca,"Antissuborno, corrupção e apresentação de informações falsas",Assédio e violência,Bem-estar animal,Biodiversidade e conservação,Condições de habitação/dormitórios,"Contratos e termos empregatícios (incluindo aviso prévio, demissão e ação disciplinar)",Direitos relacionados à maternidade e licença-parental,Discriminação,Diversidade e inclusão ,Efluentes líquidos e tratamento,Energia e emissões de gases de efeito estufa,Engajamento com a comunidade,Equiparação salarial,Férias anuais e feriados públicos,Horas de trabalho e intervalos de descanso,"Liberdade de associação, direito de organização e negociação coletiva",Lista de substâncias restritas na produção,Lista de substâncias restritas,Mão de obra estrangeira e migrante ,Pagamento de horas extras,Resíduos e/ou reciclagem (embalagens/escritório/varejo),Resíduos e/ou reciclagem (produtos/têxteis),"Salários e benefícios financeiros (ex.: bônus, seguro, previdência complementar, pensão)",Saúde e segurança,Saúde mental e bem-estar,Subcontratação,Trabalho de casa,Trabalho escravo contemporâneo,Trabalho infantil,Uso de água
1,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5"
2,"0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5",0,0,"0,5",0,"0,5","0,5","0,5",0,0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,"0,5",0
3,"0,5","0,5",0,0,0,"0,5","0,5","0,5","0,5",0,"0,5","0,5",0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,0,0,0,"0,5"
4,"0,5",0,"0,5","0,5",0,0,"0,5","0,5","0,5",0,"0,5","0,5",0,0,0,0,0,0,0,0,"0,5","0,5",0,"0,5","0,5",0,0,0,"0,5",0
5,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5"
8,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"0,5",0,"0,5","0,5","0,5",0,0,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5",0,0,0,"0,5"
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"0,5",0,"0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,"0,5","0,5","0,5","0,5","0,5",0,0,"0,5",0,0
16,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",0,0,0,0,0,0,0,0,"0,5","0,5",0,0,"0,5",0,0,0,0,"0,5"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0
20,"0,5","0,5",0,"0,5",0,"0,5","0,5","0,5","0,5",0,"0,5","0,5",0,"0,5",0,"0,5",0,0,0,0,0,"0,5","0,5",0,"0,5",0,0,0,"0,5",0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"0,5","0,5",0,"0,5",0,0,0,"0,5","0,5","0,5","0,5","0,5",0,"0,5",0,"0,5","0,5","0,5",0,0,0,"0,5","0,5","0,5",0,0,0,0,"0,5","0,5"
